panic_variant,sync_bars,delay_bars,arm,exit,cost,period,cagr,max_drawdown,sharpe,active_days,active_win_rate,trade_rows,paired_days,selected_minus_control,selected_mean,control_mean,pnl_corr
DIVERGENCE,2,0,SELECTED_SYNC,10:00,CONSERVATIVE,development_2021_2023,-0.11430636434173369,-0.2828010254094363,-0.8668099730816176,29.0,0.41379310344827586,53.0,,,,,
DIVERGENCE,2,0,SELECTED_SYNC,10:00,CONSERVATIVE,oos_2024_2026,0.06222105346945561,-0.1667429909837509,0.4383873922705898,32.0,0.53125,73.0,,,,,
DIVERGENCE,2,0,CONTROL_STOCK_ONLY,OPEN,BASE,all,-0.10073568687505685,-0.4508102625636573,-0.6993718636853908,136.0,0.4338235294117647,345.0,,,,,
DIVERGENCE,2,0,CONTROL_STOCK_ONLY,OPEN,BASE,development_2021_2023,-0.14168267861248007,-0.3209556891905282,-1.4305908466019452,73.0,0.3972602739726027,185.0,,,,,
DIVERGENCE,2,0,CONTROL_STOCK_ONLY,OPEN,BASE,oos_2024_2026,-0.05703422660322821,-0.20554575515538254,-0.2662016746252035,63.0,0.47619047619047616,160.0,,,,,
DIVERGENCE,2,0,CONTROL_STOCK_ONLY,OPEN,CONSERVATIVE,all,-0.12647015161915287,-0.5181949913117712,-0.9054654517686875,136.0,0.4117647058823529,345.0,,,,,
DIVERGENCE,2,0,CONTROL_STOCK_ONLY,OPEN,CONSERVATIVE,development_2021_2023,-0.16772400397683718,-0.3657245377565489,-1.705454208663347,73.0,0.3561643835616438,185.0,,,,,
DIVERGENCE,2,0,CONTROL_STOCK_ONLY,OPEN,CONSERVATIVE,oos_2024_2026,-0.08246129371960276,-0.24058048594767023,-0.42997350843829013,63.0,0.47619047619047616,160.0,,,,,
DIVERGENCE,2,0,CONTROL_STOCK_ONLY,10:00,BASE,all,-0.08204249543811915,-0.48359007699073353,-0.3752986444009106,136.0,0.4264705882352941,345.0,,,,,
DIVERGENCE,2,0,CONTROL_STOCK_ONLY,10:00,BASE,development_2021_2023,-0.20496076201009372,-0.42569501617922834,-1.4041330245133532,73.0,0.3972602739726027,185.0,,,,,
DIVERGENCE,2,0,CONTROL_STOCK_ONLY,10:00,BASE,oos_2024_2026,0.06377309866848502,-0.21648035232225682,0.4048801624081968,63.0,0.4603174603174603,160.0,,,,,
DIVERGENCE,2,0,CONTROL_STOCK_ONLY,10:00,CONSERVATIVE,all,-0.10831190777100197,-0.5384009957197962,-0.5334690149626284,136.0,0.40441176470588236,345.0,,,,,
DIVERGENCE,2,0,CONTROL_STOCK_ONLY,10:00,CONSERVATIVE,development_2021_2023,-0.22908223195836008,-0.46942727411290197,-1.589235969468812,73.0,0.3698630136986301,185.0,,,,,
DIVERGENCE,2,0,CONTROL_STOCK_ONLY,10:00,CONSERVATIVE,oos_2024_2026,0.035088462662024034,-0.23014997094816092,0.2732489369482267,63.0,0.4444444444444444,160.0,,,,,
DIVERGENCE,2,0,PAIRED_SELECTED_MINUS_CONTROL,OPEN,BASE,all,,,,,,,61.0,-0.007299413304087082,-0.002100759529241619,0.005198653774845462,0.4949164676264543
