arm,delay_bars,instrument,signal_date,trade_date,exit_date,signal_ret20,signal_hit_count20,industry_code,trigger_datetime,entry_datetime,entry_price,touch_pos,break_pos,market_median_ret,peer_median_ret,peer_positive_ratio,peer_n,exit_open,exit_0935,exit_0940,exit_0945,exit_1000,rank,net_return
SELECTED_SUPPORT,0,SZ000425,2021-09-29,2021-09-30,2021-10-08,0.042553191489361764,2.0,C35,2021-09-30 10:00:00,2021-09-30 10:05:00,7.0,2,3,0.005333333333333412,0.011100539169045298,0.8148148148148148,27,6.92,6.93,6.84,6.8,6.82,1,-0.028147687501627106
SELECTED_SUPPORT,0,SZ000998,2021-09-30,2021-10-08,2021-10-11,0.02979336857280157,1.0,A01,2021-10-08 11:30:00,2021-10-08 13:05:00,23.57,17,22,0.00878379982432409,0.09986000933271111,1.0,3,23.57,24.24,24.29,24.15,24.44,1,0.03432151078164658
SELECTED_SUPPORT,0,SH600556,2021-11-03,2021-11-04,2021-11-05,0.48466257668711643,4.0,I64,2021-11-04 13:15:00,2021-11-04 13:20:00,13.3,10,11,0.0004123711340207059,0.009822397350236933,0.8,15,12.9,13.78,13.65,13.78,14.16,1,0.062002527008563124
SELECTED_SUPPORT,0,SH603799,2021-11-05,2021-11-08,2021-11-09,0.09264171333136839,1.0,C32,2021-11-08 13:20:00,2021-11-08 13:25:00,122.34,25,26,0.0022222222222221255,0.017210944395410488,0.8235294117647058,17,122.0,122.8,121.64,122.27,122.12,1,-0.004291402192786786
SELECTED_SUPPORT,0,SH603659,2021-11-05,2021-11-08,2021-11-09,0.07381818181818178,1.0,C38,2021-11-08 14:20:00,2021-11-08 14:25:00,194.87,10,37,0.0007374631268437515,0.002538336735227964,0.5277777777777778,36,196.0,197.04,194.52,194.34,192.98,2,-0.012172176095777587
SELECTED_SUPPORT,0,SH600383,2021-11-10,2021-11-11,2021-11-12,-0.0941586748038361,1.0,K70,2021-11-11 11:10:00,2021-11-11 11:15:00,11.42,11,18,0.004464285714285587,0.03196102438526682,1.0,28,11.22,11.05,10.94,10.99,10.98,1,-0.04093029234834
SELECTED_SUPPORT,0,SH600640,2021-11-10,2021-11-11,2021-11-12,0.1921274601686973,2.0,I64,2021-11-11 13:05:00,2021-11-11 13:10:00,13.99,17,18,0.0058651026392961825,0.020270270270270174,0.8666666666666667,15,13.64,13.37,13.4,13.7,13.43,2,-0.04242624184878585
SELECTED_SUPPORT,0,SH603650,2021-11-10,2021-11-11,2021-11-12,0.3644527986633248,1.0,C26,2021-11-11 13:40:00,2021-11-11 13:45:00,71.85,27,30,0.0068859984697779986,0.007294020957468561,0.7567567567567568,37,68.1,68.8,68.23,68.25,68.88,3,-0.04373050119849797
SELECTED_SUPPORT,0,SZ000681,2021-11-12,2021-11-15,2021-11-16,0.2603150787696924,2.0,R88,2021-11-15 13:30:00,2021-11-15 13:35:00,18.48,23,24,0.00028224668360143923,0.10000000000000009,1.0,3,18.1,18.19,18.01,18.35,18.69,1,0.0088376277767368
SELECTED_SUPPORT,0,SH603799,2021-11-19,2021-11-22,2021-11-23,0.13577894235350163,2.0,C32,2021-11-22 11:00:00,2021-11-22 11:05:00,131.12,5,6,0.0008153281695881809,0.01037463976945241,0.6470588235294118,17,132.3,131.2,130.52,129.44,130.67,1,-0.005921025400903668
