a,b,n_dates,mean_corr,mean_abs_corr,median_abs_corr,p90_abs_corr
TREND_EFF20,LOW_ABS_GAP1,181,-0.01758258424540326,0.10942315132917335,0.09521011627049643,0.2154502668122242
TREND_EFF20,HIGH_CLOSE_LOC1,181,0.0664902714032913,0.13063876776159852,0.1134756692192547,0.2618527742788005
TREND_EFF20,LOW_UPPER_SHADOW1,181,-0.048698256291471675,0.11584615872380098,0.09983780601085987,0.24394771973897075
TREND_EFF20,LOW_AMPLITUDE1,181,-0.03933415791716006,0.13235589593695024,0.12364989343640509,0.27191951252963426
TREND_EFF20,LOW_TURNOVER_ACCEL5,181,-0.0551855512052829,0.10031963889959981,0.08027161517727555,0.21304530453045317
TREND_EFF20,HIGH_LIQUIDITY,181,0.02136491343521175,0.13217318289320548,0.1143390589992532,0.2753040719196193
TREND_EFF20,SMALLER_FLOAT_CAP,181,-0.0004845786942671003,0.12079949009660192,0.10584536562645547,0.25366273456194116
TREND_EFF20,LOW_GAP_VOL10,181,0.03171879162475784,0.15280612942867589,0.13205574718311888,0.2967269217269219
TURNOVER_SWEET,LOW_ABS_GAP1,181,-0.20865914932604815,0.2144131632078104,0.20949296480178442,0.3786156240818117
TURNOVER_SWEET,HIGH_CLOSE_LOC1,181,0.07671540454705184,0.13440940312236116,0.11193328352682723,0.27998413801306615
TURNOVER_SWEET,LOW_UPPER_SHADOW1,181,-0.23583064281149527,0.2399804170970271,0.23249029976855068,0.41338715452705915
TURNOVER_SWEET,LOW_AMPLITUDE1,181,-0.4886583058530808,0.4886583058530808,0.4908238499857052,0.6327386724161398
TURNOVER_SWEET,LOW_TURNOVER_ACCEL5,181,-0.10064812620872161,0.17253239423945893,0.15829850023147687,0.3422444743597969
TURNOVER_SWEET,HIGH_LIQUIDITY,181,0.4835292632097948,0.4835292632097948,0.49955246565619016,0.6687594366364282
TURNOVER_SWEET,SMALLER_FLOAT_CAP,181,0.2848056234382187,0.2850831708684548,0.28292210534813544,0.45045157150208404
TURNOVER_SWEET,LOW_GAP_VOL10,181,-0.32273911493634705,0.3231485306900259,0.3286993682974867,0.4691329589063707
LOW_ABS_GAP1,HIGH_CLOSE_LOC1,181,0.04940589792747188,0.10337935385363016,0.08872742430069816,0.20564620585115867
LOW_ABS_GAP1,LOW_UPPER_SHADOW1,181,0.1047200493400892,0.13579009070812806,0.11984555059718692,0.25780868913123556
