family,label,cost,period,cagr,max_drawdown,sharpe,active_days,active_win_rate,trade_rows
book_regime,PROFIT_POSITIVE,CONSERVATIVE,all,-0.06262104176209149,-0.439281308420047,-0.5381506042419051,171,0.4619883040935672,513
book_regime,PROFIT_POSITIVE,CONSERVATIVE,development_2021_2023,-0.13672218860008656,-0.3551788532732252,-1.4452115666925442,91,0.4065934065934066,273
book_regime,PROFIT_POSITIVE,CONSERVATIVE,oos_2024_2026,0.020274863122234255,-0.1430434482524321,0.23070357173786285,80,0.525,240
book_regime,PROFIT_EXPANDING,BASE,all,0.10699301494767344,-0.2517767205600182,0.7294591688569673,175,0.5314285714285715,525
book_regime,PROFIT_EXPANDING,BASE,development_2021_2023,-0.06967397657811536,-0.2517767205600182,-0.6643125264638852,86,0.47674418604651164,258
book_regime,PROFIT_EXPANDING,BASE,oos_2024_2026,0.3252310452186835,-0.12522207175515887,1.52652590486236,89,0.5842696629213483,267
book_regime,PROFIT_EXPANDING,CONSERVATIVE,all,0.06648244512014712,-0.2941528236802231,0.4926428612471513,175,0.52,525
book_regime,PROFIT_EXPANDING,CONSERVATIVE,development_2021_2023,-0.1026997429240688,-0.2941528236802231,-1.0153089260154955,86,0.46511627906976744,258
book_regime,PROFIT_EXPANDING,CONSERVATIVE,oos_2024_2026,0.27503087618992494,-0.13669352936395485,1.339635425523206,89,0.5730337078651685,267
weak_axis,NON_WEAK,BASE,all,-0.12692137202720488,-0.7955070404962581,-0.40541215370111594,718,0.4610027855153203,2154
weak_axis,NON_WEAK,BASE,development_2021_2023,-0.40154762184173143,-0.7425913524056112,-2.5374277066651687,361,0.40166204986149584,1083
weak_axis,NON_WEAK,BASE,oos_2024_2026,0.28865431712066836,-0.39569966628066255,0.9982135208481605,357,0.5210084033613446,1071
weak_axis,NON_WEAK,CONSERVATIVE,all,-0.250755939083694,-0.8883340705085048,-1.008351571704263,718,0.4387186629526462,2154
weak_axis,NON_WEAK,CONSERVATIVE,development_2021_2023,-0.4857939721717143,-0.8240944190532116,-3.2951058117409016,361,0.38227146814404434,1083
weak_axis,NON_WEAK,CONSERVATIVE,oos_2024_2026,0.10373394203924624,-0.4675077360781442,0.4833213572480631,357,0.4957983193277311,1071
weak_axis,WEAK,BASE,all,-0.278656706238833,-0.852994731003331,-1.4707038488321396,535,0.4074766355140187,1605
